1487,11705,11291,11168,10911,10775,10498,10368,10110,9867,9554,9208,9085,8869,8563,8284,8075,7682,7394,7012,6809,6332,6004,5681,5113,4762,4110,3537,2938,2317,2171,1491,1121,842,411,223,0,255,459,618,1113,1819,2317,2624,2930,3692,3904,4399,4554,5059,5363,5558,5790,6036,6351,6487,6864,7118,7488,7675,9110,9535,10260,10812,11212,11783,12108,12448,12935,13093,13449,13881,14111,14339,14689,14917,15087,15293,15640,15882,16205,16417,16593
1488,11960,11546,11423,11166,11030,10753,10623,10365,10122,9809,9463,9340,9124,8818,8539,8330,7937,7649,7267,7064,6587,6259,5936,5368,5017,4365,3792,3193,2572,2426,1746,1376,1097,666,478,255,0,204,363,858,1564,2062,2369,2675,3437,3649,4144,4299,4804,5108,5303,5535,5781,6096,6232,6609,6863,7233,7420,8855,9280,10005,10557,10957,11528,11853,12193,12680,12838,13194,13626,13856,14084,14434,14662,14832,15038,15385,15627,15950,16162,16338
1489,12164,11750,11627,11370,11234,10957,10827,10569,10326,10013,9667,9544,9328,9022,8743,8534,8141,7853,7471,7268,6791,6463,6140,5572,5221,4569,3996,3397,2776,2630,1950,1580,1301,870,682,459,204,0,159,654,1360,1858,2165,2471,3233,3445,3940,4095,4600,4904,5099,5331,5577,5892,6028,6405,6659,7029,7216,8651,9076,9801,10353,10753,11324,11649,11989,12476,12634,12990,13422,13652,13880,14230,14458,14628,14834,15181,15423,15746,15958,16134
1490,12323,11909,11786,11529,11393,11116,10986,10728,10485,10172,9826,9703,9487,9181,8902,8693,8300,8012,7630,7427,6950,6622,6299,5731,5380,4728,4155,3556,2935,2789,2109,1739,1460,1029,841,618,363,159,0,495,1201,1699,2006,2312,3074,3286,3781,3936,4441,4745,4940,5172,5418,5733,5869,6246,6500,6870,7057,8492,8917,9642,10194,10594,11165,11490,11830,12317,12475,12831,13263,13493,13721,14071,14299,14469,14675,15022,15264,15587,15799,15975
1491,12818,12404,12281,12024,11888,11611,11481,11223,10980,10667,10321,10198,9982,9676,9397,9188,8795,8507,8125,7922,7445,7117,6794,6226,5875,5223,4650,4051,3430,3284,2604,2234,1955,1524,1336,1113,858,654,495,0,706,1204,1511,1817,2579,2791,3286,3441,3946,4250,4445,4677,4923,5238,5374,5751,6005,6375,6562,7997,8422,9147,9699,10099,10670,10995,11335,11822,11980,12336,12768,12998,13226,13576,13804,13974,14180,14527,14769,15092,15304,15480
1003,13524,13110,12987,12730,12594,12317,12187,11929,11686,11373,11027,10904,10688,10382,10103,9894,9501,9213,8831,8628,8151,7823,7500,6932,6581,5929,5356,4757,4136,3990,3310,2940,2661,2230,2042,1819,1564,1360,1201,706,0,498,805,1111,1873,2085,2580,2735,3240,3544,3739,3971,4217,4532,4668,5045,5299,5669,5856,7291,7716,8441,8993,9393,9964,10289,10629,11116,11274,11630,12062,12292,12520,12870,13098,13268,13474,13821,14063,14386,14598,14774
1004,14022,13608,13485,13228,13092,12815,12685,12427,12184,11871,11525,11402,11186,10880,10601,10392,9999,9711,9329,9126,8649,8321,7998,7430,7079,6427,5854,5255,4634,4488,3808,3438,3159,2728,2540,2317,2062,1858,1699,1204,498,0,307,613,1375,1587,2082,2237,2742,3046,3241,3473,3719,4034,4170,4547,4801,5171,5358,6793,7218,7943,8495,8895,9466,9791,10131,10618,10776,11132,11564,11794,12022,12372,12600,12770,12976,13323,13565,13888,14100,14276
1005,14249,13915,13792,13535,13399,13122,12992,12734,12491,12178,11832,11709,11493,11187,10908,10699,10306,10018,9636,9433,8956,8628,8305,7737,7386,6734,6161,5562,4941,4795,4115,3745,3466,3035,2847,2624,2369,2165,2006,1511,805,307,0,306,1068,1280,1775,1930,2435,2739,2934,3166,3412,3727,3863,4240,4494,4864,5051,6486,6911,7636,8188,8588,9159,9484,9824,10311,10469,10825,11257,11487,11715,12065,12293,12463,12669,13016,13258,13581,13793,13969
1006,13943,14221,14098,13841,13705,13428,13298,13040,12797,12484,12138,12015,11799,11493,11214,11005,10612,10324,9942,9739,9262,8934,8611,8043,7692,7040,6467,5868,5247,5101,4421,4051,3772,3341,3153,2930,2675,2471,2312,1817,1111,613,306,0,762,974,1469,1624,2129,2433,2628,2860,3106,3421,3557,3934,4188,4558,4745,6180,6605,7330,7882,8282,8853,9178,9518,10005,10163,10519,10951,11181,11409,11759,11987,12157,12363,12710,12952,13275,13487,13663
1757,13181,14983,14860,14603,14467,14190,14060,13802,13559,13246,12900,12777,12561,12255,11976,11767,11374,11086,10704,10501,10024,9696,9373,8805,8454,7802,7229,6630,4692,4838,5183,4813,4534,4103,3915,3692,3437,3233,3074,2579,1873,1375,1068,762,0,212,707,862,1367,1671,1866,2098,2344,2659,2795,3172,3426,3796,3983,5418,5843,6568,7120,7520,8091,8416,8756,9243,9401,9757,10189,10419,10647,10997,11225,11395,11601,11948,12190,12513,12725,12901
1758,12969,15195,15072,14815,14679,14402,14272,14014,13771,13458,13112,12989,12773,12467,12188,11979,11586,11298,10916,10713,10236,9908,9585,9017,8666,8014,7441,6842,4480,4626,5395,5025,4746,4315,4127,3904,3649,3445,3286,2791,2085,1587,1280,974,212,0,495,650,1155,1459,1654,1886,2132,2447,2583,2960,3214,3584,3771,5206,5631,6356,6908,7308,7879,8204,8544,9031,9189,9545,9977,10207,10435,10785,11013,11183,11389,11736,11978,12301,12513,12689
1760,12474,15690,15567,15310,15174,14897,14767,14509,14266,13953,13607,13484,13268,12962,12683,12474,12081,11793,11411,11208,10731,10403,10080,9512,9161,8509,7936,7337,3985,4131,5890,5520,5241,4810,4622,4399,4144,3940,3781,3286,2580,2082,1775,1469,707,495,0,155,660,964,1159,1391,1637,1952,2088,2465,2719,3089,3276,4711,5136,5861,6413,6813,7384,7709,8049,8536,8694,9050,9482,9712,9940,10290,10518,10688,10894,11241,11483,11806,12018,12194
1761,12319,15845,15722,15465,15329,15052,14922,14664,14421,14108,13762,13639,13423,13117,12838,12629,12236,11948,11566,11363,10886,10558,10235,9667,9316,8664,8091,7492,3830,3976,6045,5675,5396,4965,4777,4554,4299,4095,3936,3441,2735,2237,1930,1624,862,650,155,0,505,809,1004,1236,1482,1797,1933,2310,2564,2934,3121,4556,4981,5706,6258,6658,7229,7554,7894,8381,8539,8895,9327,9557,9785,10135,10363,10533,10739,11086,11328,11651,11863,12039
1709,11814,16350,16227,15970,15834,15557,15427,15169,14926,14613,14267,14144,13928,13622,13343,13134,12741,12453,12071,11868,11391,11063,10740,10172,9821,9169,8596,7997,3325,3471,6550,6180,5901,5470,5282,5059,4804,4600,4441,3946,3240,2742,2435,2129,1367,1155,660,505,0,304,499,731,977,1292,1428,1805,2059,2429,2616,4051,4476,5201,5753,6153,6724,7049,7389,7876,8034,8390,8822,9052,9280,9630,9858,10028,10234,10581,10823,11146,11358,11534
